tipo,cidade/uf,bairro,endereço,área_total,área_construída,iptu,valor,descricao,condomínio
Casa-Térrea,Campo Grande - MS,Autonomista,R. Autonomista,"216,21 m²","118,00 m²","R$ 2.500,00","R$690.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Cozinha,Interfone,Lavanderia,Piscina,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Autonomista,R. Santa Bárbara,"168,40 m²","108,90 m²",,"R$480.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Carandá Bosque I,"R. Vitório Zeola, 922","1.070,52 m²","345,03 m²",,"R$2.500.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Apto(s) com a/e,1 Apto,1 Wc social,4 Vaga(s) de garagem,Alarme,Aquecedor solar,Área de lazer,Área de serviço,Árvores frutíferas,Canil,Cerca elétrica,Churrasqueira,Closet,Copa,Cozinha,Depósito,Despensa,Gazebo,Hall de entrada,Hidromassagem,Interfone,Jardim,Lavabo,Lavanderia,Piscina,Portão elétrico,Porteiro eletrônico,Quarto empregada,WC de serviço",
Casa-Térrea,Campo Grande - MS,Carandá Bosque I,,"360,00 m²","210,00 m²",,"R$1.450.000,00","Sala de estar,Sala de jantar,Sala de TV,3 Suíte(s),1 Varanda,3 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Centro,"R. Eduardo Santos Pereira, 332","640,00 m²","361,00 m²","R$ 6.600,00","R$1.380.000,00","Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,2 Varanda(s),1 Wc social,3 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Cidade Jardim,R. Antúrio,"360,00 m²","220,00 m²",,"R$1.300.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,1 Apto com a/e,1 Quarto com a/e,1 Wc social,2 Vaga(s) de garagem,Alarme,Câmeras de segurança,Cerca elétrica,Churrasqueira,Closet,Cozinha planejada,Despensa,Escritório,Interfone,Jardim,Lavabo,Lavanderia,Piscina,Portão elétrico,Porteiro eletrônico,WC de serviço",
Casa-Térrea,Campo Grande - MS,Cidade Jardim,"R. Tinhorão, 684","360,00 m²","208,00 m²",,"R$850.000,00","Aceita financiamento,Sala de estar,Sala de jantar,Sala de TV,2 Suíte(s),1 Quarto,1 Varanda,2 Wc social,7 Vaga(s) de garagem,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha planejada,Deck,Edícula,Energia solar fotovoltaica,Escritório,Interfone,Lavanderia,Piscina aquecida,Portão elétrico,Porteiro eletrônico",
Casa-Térrea,Campo Grande - MS,Cidade Jardim,,"360,00 m²","203,00 m²",,"R$900.000,00",,
Casa-Térrea,Campo Grande - MS,Estrela Park,Tv. João Sanches,"200,00 m²","105,00 m²",,"R$496.000,00","Aceita financiamento,Aceita permuta,Água,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Churrasqueira,Closet",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Cláudia, 595","360,00 m²","211,00 m²",,"R$1.350.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Hall de entrada,Jardim,Piscina",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,,"360,00 m²","211,00 m²",,"R$1.350.000,00",,
Casa-Térrea,Campo Grande - MS,Itanhangá Park,,"780,00 m²","400,00 m²",,"R$2.500.000,00","Sala de estar,Sala de jantar,Sala de TV,4 Suíte(s),1 Wc social,4 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Jardim Aeroporto,,"250,00 m²","55,00 m²",,"R$200.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de TV,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Jardim Autonomista,,"411,00 m²","202,00 m²",,"R$850.000,00",,
Casa-Térrea,Campo Grande - MS,Jardim dos Estados,"R. Rio Doce, 370","3.336,41 m²","586,00 m²",,"R$5.700.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,3 Sala(s) de estar,Sala de jantar,Sala de TV,5 Suíte(s) com a/e,2 Varanda(s),3 Wc social,14 Vaga(s) de garagem,Adega,Alarme,Aquecedor solar,Área de lazer,Área de serviço,Árvores frutíferas,Câmeras de segurança,Cerca elétrica,Churrasqueira,Closet,Copa,Cozinha planejada,Depósito,Despensa,Escritório,Gazebo,Guarita,Hidromassagem,Home theater,Interfone,Jardim,Lavabo,Piscina aquecida,Portão elétrico,Quadra de areia,Quarto empregada,WC de serviço",
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"208,00 m²","104,00 m²",,"R$410.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"150,00 m²","75,00 m²",,"R$300.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,1 Quarto,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavanderia",
