tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coophavila II,R. dos Recifes,"150,00 m²","74,80 m²","R$314.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Jardim",,
Casa-Térrea,Campo Grande - MS,Coophavila II,R. dos Recifes,"150,00 m²","75,00 m²","R$314.000,00","Aceita financiamento,Água,Asfalto,Esgoto,Muro,Rede elétrica,Sala de estar,3 Quarto(s),2 Vaga(s) de garagem,Churrasqueira,Cozinha",,
Casa-Térrea,Campo Grande - MS,Coophavila II,R. dos Recifes,"300,00 m²","165,00 m²","R$260.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Sala de TV,4 Quarto(s),2 Wc social",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. dos Recifes, 1346","360,00 m²",,"R$180.000,00","Aceita permuta,Água,Asfalto,Calçada,Esgoto,Imóvel alugado com renda,Muro,Rede elétrica,Sala de estar,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Churrasqueira,Cozinha,Despensa",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. dos Recifes, 1395","300,00 m²","200,00 m²","R$280.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,3 Quarto(s),3 Varanda(s),1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cozinha,Despensa,Edícula,Jardim,Lavanderia,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. dos Recifes, 185",,"90,00 m²","R$260.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,Sala de TV,2 Quarto(s),1 Wc social,6 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Edícula,Piscina,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. dos Recifes, 185","300,00 m²","165,00 m²","R$260.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rampa de acessibilidade,Rede elétrica,Sala de TV,2 Quarto(s),1 Wc social,6 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha,Edícula,Piscina,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. dos Recifes, 216","300,00 m²","65,00 m²","R$190.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Jardim,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coophavila II,"R. Lúcia Martins Coelho, 246","200,00 m²","150,00 m²","R$320.000,00","Aceita financiamento,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Churrasqueira,Interfone,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Coophavila II,R. Maracaibo,"487,20 m²","212,48 m²","R$490.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,2 Apto(s) com a/e,1 Quarto,2 Varanda(s),1 Wc social,5 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Copa,Cozinha planejada,Edícula,Jardim,Lavanderia,Portão elétrico,WC de serviço","R$ 1.934,47",
