tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,suite,quarto,wc_social,vaga,asfalto,piscina
Casa-Térrea,Campo Grande - MS,Autonomista,R. Autonomista,216.21,118.0,690000.0,1,2,1,3,1,1
Casa-Térrea,Campo Grande - MS,Autonomista,R. Santa Bárbara,168.4,108.9,480000.0,1,2,1,2,1,0
Casa-Térrea,Campo Grande - MS,Carandá Bosque I,"R. Vitório Zeola, 922",1070.52,345.03,2500000.0,1,0,1,4,1,1
Casa-Térrea,Campo Grande - MS,Carandá Bosque I,,360.0,210.0,1450000.0,3,0,0,3,0,0
Casa-Térrea,Campo Grande - MS,Centro,"R. Eduardo Santos Pereira, 332",640.0,361.0,1380000.0,1,2,1,3,0,0
Casa-Térrea,Campo Grande - MS,Cidade Jardim,R. Antúrio,360.0,220.0,1300000.0,1,1,1,2,1,1
Casa-Térrea,Campo Grande - MS,Cidade Jardim,"R. Tinhorão, 684",360.0,208.0,850000.0,2,1,2,7,0,0
Casa-Térrea,Campo Grande - MS,Cidade Jardim,,360.0,203.0,900000.0,0,0,0,0,0,0
Casa-Térrea,Campo Grande - MS,Estrela Park,Tv. João Sanches,200.0,105.0,496000.0,1,2,1,3,0,0
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Cláudia, 595",360.0,211.0,1350000.0,1,2,1,2,1,1
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,,360.0,211.0,1350000.0,0,0,0,0,0,0
Casa-Térrea,Campo Grande - MS,Itanhangá Park,,780.0,400.0,2500000.0,4,0,1,4,0,0
Casa-Térrea,Campo Grande - MS,Jardim Aeroporto,,250.0,55.0,200000.0,0,2,1,3,1,0
Casa-Térrea,Campo Grande - MS,Jardim Autonomista,,411.0,202.0,850000.0,0,0,0,0,0,0
Casa-Térrea,Campo Grande - MS,Jardim dos Estados,"R. Rio Doce, 370",3336.41,586.0,5700000.0,5,0,3,14,1,0
Casa-Térrea,Campo Grande - MS,Jardim Imá,,208.0,104.0,410000.0,1,2,1,3,1,0
Casa-Térrea,Campo Grande - MS,Jardim Imá,,150.0,75.0,300000.0,1,1,1,2,1,0
Casa-Térrea,Campo Grande - MS,Jardim Imá,,180.0,100.0,370000.0,1,1,1,2,1,0
